window_time,motion_percentage_th,session_id,accuracy,TP,TN,FP,FN,Accuracy
4,4,379,,46,11,43,6,0.5377358490566038
4,4,380,,34,31,91,5,0.40372670807453415
4,4,381,,17,36,17,5,0.7066666666666667
4,4,382,,65,83,73,15,0.6271186440677966
4,4,384,,69,63,85,5,0.5945945945945946
4,4,385,,79,66,24,5,0.8333333333333334
4,4,386,,30,32,216,0,0.22302158273381295
4,4,387,,16,39,195,0,0.22
4,4,388,,53,54,147,0,0.421259842519685
4,4,389,,47,31,121,14,0.36619718309859156
4,4,390,,146,29,32,2,0.8373205741626795
4,4,391,,158,17,63,3,0.7261410788381742
4,4,392,,69,26,165,8,0.35447761194029853
4,4,408,,44,20,40,7,0.5765765765765766
4,4,428,,103,27,144,2,0.47101449275362317
4,4,429,,78,53,71,7,0.6267942583732058
4,4,430,,47,47,134,4,0.4051724137931034
4,4,432,,55,52,50,16,0.6184971098265896
4,4,433,,48,97,68,8,0.6561085972850679
4,4,434,,39,33,74,0,0.4931506849315068
4,4,435,,41,69,43,10,0.6748466257668712
4,4,436,,62,88,91,2,0.6172839506172839
4,6,379,,44,15,39,8,0.5566037735849056
4,6,380,,32,34,88,7,0.40993788819875776
4,6,381,,16,38,15,6,0.72
4,6,382,,48,111,45,32,0.673728813559322
4,6,384,,66,82,66,8,0.6666666666666666
4,6,385,,77,73,17,7,0.8620689655172413
4,6,386,,28,53,195,2,0.29136690647482016
4,6,387,,16,58,176,0,0.296
4,6,388,,53,71,130,0,0.4881889763779528
4,6,389,,47,46,106,14,0.43661971830985913
4,6,390,,146,31,30,2,0.84688995215311
4,6,391,,158,24,56,3,0.7551867219917012
4,6,392,,69,48,143,8,0.43656716417910446
4,6,408,,38,25,35,13,0.5675675675675675
4,6,428,,102,41,130,3,0.5181159420289855
4,6,429,,75,61,63,10,0.6507177033492823
4,6,430,,47,57,124,4,0.4482758620689655
4,6,432,,52,57,45,19,0.630057803468208
4,6,433,,45,115,50,11,0.7239819004524887
4,6,434,,37,40,67,2,0.5273972602739726
4,6,435,,39,74,38,12,0.6932515337423313
4,6,436,,55,118,61,9,0.7119341563786008
4,8,379,,41,19,35,11,0.5660377358490566
4,8,380,,32,44,78,7,0.4720496894409938
4,8,381,,16,39,14,6,0.7333333333333333
4,8,382,,42,124,32,38,0.7033898305084746
4,8,384,,64,96,52,10,0.7207207207207207
4,8,385,,77,78,12,7,0.8908045977011494
4,8,386,,24,86,162,6,0.39568345323741005
4,8,387,,16,83,151,0,0.396
4,8,388,,51,83,118,2,0.5275590551181102
4,8,389,,47,64,88,14,0.5211267605633803
4,8,390,,146,33,28,2,0.8564593301435407
4,8,391,,158,31,49,3,0.7842323651452282
4,8,392,,69,80,111,8,0.5559701492537313
4,8,408,,38,28,32,13,0.5945945945945946
4,8,428,,102,57,114,3,0.5760869565217391
4,8,429,,73,70,54,12,0.6842105263157895
4,8,430,,47,66,115,4,0.4870689655172414
4,8,432,,50,59,43,21,0.630057803468208
4,8,433,,38,123,42,18,0.7285067873303167
4,8,434,,36,48,59,3,0.5753424657534246
4,8,435,,38,84,28,13,0.7484662576687117
4,8,436,,55,127,52,9,0.7489711934156379
4,10,379,,41,23,31,11,0.6037735849056604
4,10,380,,28,49,73,11,0.4782608695652174
4,10,381,,16,40,13,6,0.7466666666666667
4,10,382,,40,126,30,40,0.7033898305084746
4,10,384,,61,113,35,13,0.7837837837837838
4,10,385,,77,82,8,7,0.9137931034482759
4,10,386,,24,112,136,6,0.4892086330935252
4,10,387,,15,123,111,1,0.552
4,10,388,,48,109,92,5,0.6181102362204725
4,10,389,,47,80,72,14,0.596244131455399
4,10,390,,144,33,28,4,0.84688995215311
4,10,391,,158,47,33,3,0.8506224066390041
4,10,392,,69,92,99,8,0.6007462686567164
4,10,408,,36,33,27,15,0.6216216216216216
4,10,428,,101,65,106,4,0.6014492753623188
4,10,429,,71,74,50,14,0.69377990430622
4,10,430,,47,83,98,4,0.5603448275862069
4,10,432,,46,74,28,25,0.6936416184971098
4,10,433,,34,131,34,22,0.746606334841629
4,10,434,,35,53,54,4,0.6027397260273972
4,10,435,,37,89,23,14,0.7730061349693251
4,10,436,,52,133,46,12,0.7613168724279835
4,12,379,,41,27,27,11,0.6415094339622641
4,12,380,,24,56,66,15,0.4968944099378882
4,12,381,,16,42,11,6,0.7733333333333333
4,12,382,,37,127,29,43,0.6949152542372882
4,12,384,,61,125,23,13,0.8378378378378378
4,12,385,,77,82,8,7,0.9137931034482759
4,12,386,,24,129,119,6,0.5503597122302158
4,12,387,,15,148,86,1,0.652
4,12,388,,45,130,71,8,0.6889763779527559
4,12,389,,42,92,60,19,0.6291079812206573
4,12,390,,144,38,23,4,0.8708133971291866
4,12,391,,154,47,33,7,0.8340248962655602
4,12,392,,69,106,85,8,0.6529850746268657
4,12,408,,34,35,25,17,0.6216216216216216
4,12,428,,98,75,96,7,0.6268115942028986
4,12,429,,67,85,39,18,0.7272727272727273
4,12,430,,41,86,95,10,0.5474137931034483
4,12,432,,36,79,23,35,0.6647398843930635
4,12,433,,29,136,29,27,0.746606334841629
4,12,434,,35,56,51,4,0.6232876712328768
4,12,435,,36,96,16,15,0.8098159509202454
4,12,436,,49,138,41,15,0.7695473251028807
4,14,379,,34,31,23,18,0.6132075471698113
4,14,380,,21,63,59,18,0.5217391304347826
4,14,381,,16,42,11,6,0.7733333333333333
4,14,382,,37,127,29,43,0.6949152542372882
4,14,384,,60,128,20,14,0.8468468468468469
4,14,385,,77,83,7,7,0.9195402298850575
4,14,386,,23,142,106,7,0.5935251798561151
4,14,387,,15,165,69,1,0.72
4,14,388,,43,146,55,10,0.7440944881889764
4,14,389,,41,102,50,20,0.6713615023474179
4,14,390,,144,38,23,4,0.8708133971291866
4,14,391,,152,54,26,9,0.8547717842323651
4,14,392,,67,117,74,10,0.6865671641791045
4,14,408,,32,36,24,19,0.6126126126126126
4,14,428,,97,94,77,8,0.6920289855072463
4,14,429,,63,91,33,22,0.7368421052631579
4,14,430,,41,92,89,10,0.5732758620689655
4,14,432,,29,80,22,42,0.630057803468208
4,14,433,,27,138,27,29,0.746606334841629
4,14,434,,35,62,45,4,0.6643835616438356
4,14,435,,32,101,11,19,0.8159509202453987
4,14,436,,48,144,35,16,0.7901234567901234
4,16,379,,32,34,20,20,0.6226415094339622
4,16,380,,14,72,50,25,0.5341614906832298
4,16,381,,10,45,8,12,0.7333333333333333
4,16,382,,35,127,29,45,0.6864406779661016
4,16,384,,58,133,15,16,0.8603603603603603
4,16,385,,71,85,5,13,0.896551724137931
4,16,386,,22,161,87,8,0.658273381294964
4,16,387,,15,195,39,1,0.84
4,16,388,,42,156,45,11,0.7795275590551181
4,16,389,,29,122,30,32,0.7089201877934272
4,16,390,,139,46,15,9,0.8851674641148325
4,16,391,,151,60,20,10,0.8755186721991701
4,16,392,,65,127,64,12,0.7164179104477612
4,16,408,,32,41,19,19,0.6576576576576577
4,16,428,,90,114,57,15,0.7391304347826086
4,16,429,,59,101,23,26,0.7655502392344498
4,16,430,,40,98,83,11,0.5948275862068966
4,16,432,,28,83,19,43,0.6416184971098265
4,16,433,,24,147,18,32,0.7737556561085973
4,16,434,,30,70,37,9,0.684931506849315
4,16,435,,24,104,8,27,0.7852760736196319
4,16,436,,42,153,26,22,0.8024691358024691
4,18,379,,32,39,15,20,0.6698113207547169
4,18,380,,14,77,45,25,0.5652173913043478
4,18,381,,10,47,6,12,0.76
4,18,382,,33,130,26,47,0.690677966101695
4,18,384,,55,134,14,19,0.8513513513513513
4,18,385,,66,85,5,18,0.867816091954023
4,18,386,,18,180,68,12,0.7122302158273381
4,18,387,,15,203,31,1,0.872
4,18,388,,40,164,37,13,0.8031496062992126
4,18,389,,27,130,22,34,0.7370892018779343
4,18,390,,139,53,8,9,0.9186602870813397
4,18,391,,151,62,18,10,0.8838174273858921
4,18,392,,64,136,55,13,0.746268656716418
4,18,408,,29,45,15,22,0.6666666666666666
4,18,428,,87,125,46,18,0.7681159420289855
4,18,429,,57,105,19,28,0.7751196172248804
4,18,430,,36,107,74,15,0.6163793103448276
4,18,432,,20,85,17,51,0.6069364161849711
4,18,433,,21,149,16,35,0.7692307692307693
4,18,434,,29,75,32,10,0.7123287671232876
4,18,435,,24,104,8,27,0.7852760736196319
4,18,436,,29,164,15,35,0.7942386831275721
4,20,379,,29,42,12,23,0.6698113207547169
4,20,380,,10,81,41,29,0.5652173913043478
4,20,381,,10,47,6,12,0.76
4,20,382,,29,133,23,51,0.6864406779661016
4,20,384,,53,136,12,21,0.8513513513513513
4,20,385,,63,85,5,21,0.8505747126436781
4,20,386,,18,197,51,12,0.7733812949640287
4,20,387,,15,205,29,1,0.88
4,20,388,,38,173,28,15,0.8307086614173228
4,20,389,,26,137,15,35,0.7652582159624414
4,20,390,,137,53,8,11,0.9090909090909091
4,20,391,,149,64,16,12,0.8838174273858921
4,20,392,,63,143,48,14,0.7686567164179104
4,20,408,,29,48,12,22,0.6936936936936937
4,20,428,,80,132,39,25,0.7681159420289855
4,20,429,,56,111,13,29,0.7990430622009569
4,20,430,,30,128,53,21,0.6810344827586207
4,20,432,,19,88,14,52,0.6184971098265896
4,20,433,,21,157,8,35,0.8054298642533937
4,20,434,,27,85,22,12,0.7671232876712328
4,20,435,,19,106,6,32,0.7668711656441718
4,20,436,,29,171,8,35,0.823045267489712
4,22,379,,26,44,10,26,0.660377358490566
4,22,380,,9,85,37,30,0.5838509316770186
4,22,381,,9,47,6,13,0.7466666666666667
4,22,382,,24,135,21,56,0.673728813559322
4,22,384,,51,138,10,23,0.8513513513513513
4,22,385,,62,86,4,22,0.8505747126436781
4,22,386,,16,206,42,14,0.7985611510791367
4,22,387,,15,215,19,1,0.92
4,22,388,,33,177,24,20,0.8267716535433071
4,22,389,,26,138,14,35,0.7699530516431925
4,22,390,,135,54,7,13,0.9043062200956937
4,22,391,,146,64,16,15,0.8713692946058091
4,22,392,,63,148,43,14,0.7873134328358209
4,22,408,,27,50,10,24,0.6936936936936937
4,22,428,,72,133,38,33,0.7427536231884058
4,22,429,,48,116,8,37,0.784688995215311
4,22,430,,28,133,48,23,0.6939655172413793
4,22,432,,15,88,14,56,0.5953757225433526
4,22,433,,17,159,6,39,0.7963800904977375
4,22,434,,20,86,21,19,0.726027397260274
4,22,435,,19,109,3,32,0.7852760736196319
4,22,436,,27,173,6,37,0.823045267489712
4,24,379,,23,45,9,29,0.6415094339622641
4,24,380,,8,87,35,31,0.5900621118012422
4,24,381,,8,48,5,14,0.7466666666666667
4,24,382,,24,135,21,56,0.673728813559322
4,24,384,,47,139,9,27,0.8378378378378378
4,24,385,,57,88,2,27,0.8333333333333334
4,24,386,,15,219,29,15,0.841726618705036
4,24,387,,15,221,13,1,0.944
4,24,388,,32,182,19,21,0.84251968503937
4,24,389,,23,141,11,38,0.7699530516431925
4,24,390,,132,54,7,16,0.8899521531100478
4,24,391,,145,64,16,16,0.8672199170124482
4,24,392,,61,152,39,16,0.7947761194029851
4,24,408,,27,53,7,24,0.7207207207207207
4,24,428,,67,143,28,38,0.7608695652173914
4,24,429,,45,119,5,40,0.784688995215311
4,24,430,,22,134,47,29,0.6724137931034483
4,24,432,,15,93,9,56,0.6242774566473989
4,24,433,,10,161,4,46,0.7737556561085973
4,24,434,,17,86,21,22,0.7054794520547946
4,24,435,,17,110,2,34,0.7791411042944786
4,24,436,,13,173,6,51,0.7654320987654321
4,26,379,,21,47,7,31,0.6415094339622641
4,26,380,,7,92,30,32,0.6149068322981367
4,26,381,,7,48,5,15,0.7333333333333333
4,26,382,,22,141,15,58,0.690677966101695
4,26,384,,47,139,9,27,0.8378378378378378
4,26,385,,57,88,2,27,0.8333333333333334
4,26,386,,14,224,24,16,0.8561151079136691
4,26,387,,15,221,13,1,0.944
4,26,388,,31,183,18,22,0.84251968503937
4,26,389,,23,143,9,38,0.7793427230046949
4,26,390,,130,54,7,18,0.8803827751196173
4,26,391,,145,64,16,16,0.8672199170124482
4,26,392,,56,158,33,21,0.7985074626865671
4,26,408,,26,57,3,25,0.7477477477477478
4,26,428,,66,147,24,39,0.7717391304347826
4,26,429,,39,120,4,46,0.7607655502392344
4,26,430,,19,143,38,32,0.6982758620689655
4,26,432,,9,99,3,62,0.6242774566473989
4,26,433,,8,161,4,48,0.7647058823529411
4,26,434,,17,87,20,22,0.7123287671232876
4,26,435,,17,110,2,34,0.7791411042944786
4,26,436,,13,176,3,51,0.7777777777777778
4,28,379,,20,47,7,32,0.6320754716981132
4,28,380,,7,95,27,32,0.6335403726708074
4,28,381,,7,49,4,15,0.7466666666666667
4,28,382,,22,143,13,58,0.6991525423728814
4,28,384,,45,139,9,29,0.8288288288288288
4,28,385,,57,88,2,27,0.8333333333333334
4,28,386,,14,226,22,16,0.8633093525179856
4,28,387,,15,221,13,1,0.944
4,28,388,,29,192,9,24,0.8700787401574803
4,28,389,,23,146,6,38,0.7934272300469484
4,28,390,,128,54,7,20,0.8708133971291866
4,28,391,,141,64,16,20,0.8506224066390041
4,28,392,,55,164,27,22,0.8171641791044776
4,28,408,,26,59,1,25,0.7657657657657657
4,28,428,,57,151,20,48,0.7536231884057971
4,28,429,,39,120,4,46,0.7607655502392344
4,28,430,,18,149,32,33,0.7198275862068966
4,28,432,,9,99,3,62,0.6242774566473989
4,28,433,,8,163,2,48,0.7737556561085973
4,28,434,,17,94,13,22,0.7602739726027398
4,28,435,,17,110,2,34,0.7791411042944786
4,28,436,,13,178,1,51,0.7860082304526749
6,4,379,,48,10,44,4,0.5471698113207547
6,4,380,,38,35,87,1,0.453416149068323
6,4,381,,19,35,18,3,0.72
6,4,382,,70,89,67,10,0.673728813559322
6,4,384,,70,56,92,4,0.5675675675675675
6,4,385,,79,66,24,5,0.8333333333333334
6,4,386,,30,30,218,0,0.2158273381294964
6,4,387,,16,37,197,0,0.212
6,4,388,,53,51,150,0,0.4094488188976378
6,4,389,,49,36,116,12,0.39906103286384975
6,4,390,,148,28,33,0,0.8421052631578947
6,4,391,,157,16,64,4,0.7178423236514523
6,4,392,,77,19,172,0,0.3582089552238806
6,4,408,,44,18,42,7,0.5585585585585585
6,4,428,,103,29,142,2,0.4782608695652174
6,4,429,,79,57,67,6,0.6507177033492823
6,4,430,,49,46,135,2,0.40948275862068967
6,4,432,,55,50,52,16,0.6069364161849711
6,4,433,,51,100,65,5,0.6832579185520362
6,4,434,,39,32,75,0,0.4863013698630137
6,4,435,,41,74,38,10,0.7055214723926381
6,4,436,,63,86,93,1,0.6131687242798354
6,6,379,,48,12,42,4,0.5660377358490566
6,6,380,,36,39,83,3,0.4658385093167702
6,6,381,,18,37,16,4,0.7333333333333333
6,6,382,,51,120,36,29,0.7245762711864406
6,6,384,,66,87,61,8,0.6891891891891891
6,6,385,,79,74,16,5,0.8793103448275862
6,6,386,,28,47,201,2,0.2697841726618705
6,6,387,,16,58,176,0,0.296
6,6,388,,52,72,129,1,0.4881889763779528
6,6,389,,49,45,107,12,0.4413145539906103
6,6,390,,148,31,30,0,0.8564593301435407
6,6,391,,157,24,56,4,0.7510373443983402
6,6,392,,77,44,147,0,0.45149253731343286
6,6,408,,40,26,34,11,0.5945945945945946
6,6,428,,103,47,124,2,0.5434782608695652
6,6,429,,76,67,57,9,0.6842105263157895
6,6,430,,49,54,127,2,0.44396551724137934
6,6,432,,48,54,48,23,0.5895953757225434
6,6,433,,43,116,49,13,0.7194570135746606
6,6,434,,39,41,66,0,0.547945205479452
6,6,435,,40,78,34,11,0.7239263803680982
6,6,436,,61,123,56,3,0.757201646090535
6,8,379,,45,17,37,7,0.5849056603773585
6,8,380,,36,51,71,3,0.5403726708074534
6,8,381,,17,39,14,5,0.7466666666666667
6,8,382,,45,132,24,35,0.75
6,8,384,,65,104,44,9,0.7612612612612613
6,8,385,,78,78,12,6,0.896551724137931
6,8,386,,27,88,160,3,0.4136690647482014
6,8,387,,16,85,149,0,0.404
6,8,388,,51,87,114,2,0.5433070866141733
6,8,389,,48,66,86,13,0.5352112676056338
6,8,390,,148,34,27,0,0.8708133971291866
6,8,391,,157,29,51,4,0.7717842323651453
6,8,392,,75,74,117,2,0.5559701492537313
6,8,408,,40,28,32,11,0.6126126126126126
6,8,428,,103,58,113,2,0.5833333333333334
6,8,429,,75,76,48,10,0.722488038277512
6,8,430,,49,62,119,2,0.47844827586206895
6,8,432,,46,56,46,25,0.5895953757225434
6,8,433,,36,131,34,20,0.755656108597285
6,8,434,,39,52,55,0,0.6232876712328768
6,8,435,,38,90,22,13,0.7852760736196319
6,8,436,,61,133,46,3,0.7983539094650206
6,10,379,,45,22,32,7,0.6320754716981132
6,10,380,,32,56,66,7,0.546583850931677
6,10,381,,17,40,13,5,0.76
6,10,382,,42,133,23,38,0.7415254237288136
6,10,384,,62,121,27,12,0.8243243243243243
6,10,385,,78,81,9,6,0.9137931034482759
6,10,386,,27,116,132,3,0.5143884892086331
6,10,387,,15,127,107,1,0.568
6,10,388,,47,117,84,6,0.6456692913385826
6,10,389,,47,87,65,14,0.6291079812206573
6,10,390,,147,34,27,1,0.8660287081339713
6,10,391,,157,44,36,4,0.8340248962655602
6,10,392,,75,90,101,2,0.6156716417910447
6,10,408,,37,33,27,14,0.6306306306306306
6,10,428,,99,69,102,6,0.6086956521739131
6,10,429,,72,81,43,13,0.7320574162679426
6,10,430,,49,78,103,2,0.5474137931034483
6,10,432,,42,75,27,29,0.6763005780346821
6,10,433,,33,141,24,23,0.7873303167420814
6,10,434,,37,59,48,2,0.6575342465753424
6,10,435,,37,93,19,14,0.7975460122699386
6,10,436,,54,141,38,10,0.8024691358024691
6,12,379,,44,27,27,8,0.6698113207547169
6,12,380,,28,62,60,11,0.5590062111801242
6,12,381,,17,44,9,5,0.8133333333333334
6,12,382,,39,135,21,41,0.7372881355932204
6,12,384,,61,127,21,13,0.8468468468468469
6,12,385,,78,81,9,6,0.9137931034482759
6,12,386,,27,138,110,3,0.5935251798561151
6,12,387,,15,157,77,1,0.688
6,12,388,,45,141,60,8,0.7322834645669292
6,12,389,,43,101,51,18,0.676056338028169
6,12,390,,147,38,23,1,0.8851674641148325
6,12,391,,156,44,36,5,0.8298755186721992
6,12,392,,75,106,85,2,0.6753731343283582
6,12,408,,35,37,23,16,0.6486486486486487
6,12,428,,95,78,93,10,0.6268115942028986
6,12,429,,69,86,38,16,0.7416267942583732
6,12,430,,42,81,100,9,0.5301724137931034
6,12,432,,32,78,24,39,0.6358381502890174
6,12,433,,27,146,19,29,0.7828054298642534
6,12,434,,37,61,46,2,0.6712328767123288
6,12,435,,35,102,10,16,0.8404907975460123
6,12,436,,49,146,33,15,0.8024691358024691
6,14,379,,37,29,25,15,0.6226415094339622
6,14,380,,23,68,54,16,0.5652173913043478
6,14,381,,17,44,9,5,0.8133333333333334
6,14,382,,39,135,21,41,0.7372881355932204
6,14,384,,59,131,17,15,0.8558558558558559
6,14,385,,78,82,8,6,0.9195402298850575
6,14,386,,25,148,100,5,0.6223021582733813
6,14,387,,15,180,54,1,0.78
6,14,388,,42,150,51,11,0.7559055118110236
6,14,389,,42,112,40,19,0.7230046948356808
6,14,390,,147,38,23,1,0.8851674641148325
6,14,391,,155,49,31,6,0.8464730290456431
6,14,392,,73,116,75,4,0.7052238805970149
6,14,408,,31,40,20,20,0.6396396396396397
6,14,428,,95,94,77,10,0.6847826086956522
6,14,429,,62,94,30,23,0.7464114832535885
6,14,430,,42,90,91,9,0.5689655172413793
6,14,432,,27,79,23,44,0.6127167630057804
6,14,433,,22,147,18,34,0.7647058823529411
6,14,434,,37,71,36,2,0.7397260273972602
6,14,435,,32,104,8,19,0.8343558282208589
6,14,436,,49,149,30,15,0.8148148148148148
6,16,379,,35,33,21,17,0.6415094339622641
6,16,380,,15,74,48,24,0.5527950310559007
6,16,381,,13,47,6,9,0.8
6,16,382,,36,135,21,44,0.7245762711864406
6,16,384,,56,134,14,18,0.8558558558558559
6,16,385,,75,85,5,9,0.9195402298850575
6,16,386,,25,169,79,5,0.697841726618705
6,16,387,,15,203,31,1,0.872
6,16,388,,40,162,39,13,0.7952755905511811
6,16,389,,30,136,16,31,0.7793427230046949
6,16,390,,143,45,16,5,0.8995215311004785
6,16,391,,154,57,23,7,0.8755186721991701
6,16,392,,67,137,54,10,0.7611940298507462
6,16,408,,29,44,16,22,0.6576576576576577
6,16,428,,88,111,60,17,0.7210144927536232
6,16,429,,59,101,23,26,0.7655502392344498
6,16,430,,42,96,85,9,0.5948275862068966
6,16,432,,27,81,21,44,0.6242774566473989
6,16,433,,22,153,12,34,0.7918552036199095
6,16,434,,34,73,34,5,0.7328767123287672
6,16,435,,20,106,6,31,0.7730061349693251
6,16,436,,42,165,14,22,0.8518518518518519
6,18,379,,35,39,15,17,0.6981132075471698
6,18,380,,15,81,41,24,0.5962732919254659
6,18,381,,13,50,3,9,0.84
6,18,382,,33,140,16,47,0.7330508474576272
6,18,384,,54,136,12,20,0.8558558558558559
6,18,385,,71,85,5,13,0.896551724137931
6,18,386,,17,185,63,13,0.7266187050359713
6,18,387,,14,208,26,2,0.888
6,18,388,,39,168,33,14,0.8149606299212598
6,18,389,,28,142,10,33,0.7981220657276995
6,18,390,,143,52,9,5,0.9330143540669856
6,18,391,,154,58,22,7,0.8796680497925311
6,18,392,,66,146,45,11,0.7910447761194029
6,18,408,,28,48,12,23,0.6846846846846847
6,18,428,,84,129,42,21,0.7717391304347826
6,18,429,,57,108,16,28,0.7894736842105263
6,18,430,,36,110,71,15,0.6293103448275862
6,18,432,,18,84,18,53,0.5895953757225434
6,18,433,,19,155,10,37,0.7873303167420814
6,18,434,,33,78,29,6,0.7602739726027398
6,18,435,,20,106,6,31,0.7730061349693251
6,18,436,,30,173,6,34,0.8353909465020576
